Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,RL,70,11200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,Plywood,Plywood,BrkFace,0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,NA,Attchd,1965,Unf,1,384,TA,TA,Y,0,36,0,0,0,0,NA,NA,NA,0,3,2008,WD,Normal,129500
12,60,RL,85,11924,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,286,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,0,0,3,0,4,1,Ex,9,Typ,2,TA,Attchd,2005,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,NA,NA,NA,0,1,2008,New,Partial,345000
13,20,RL,NA,12968,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,1962,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,NA,NA,NA,0,10,2007,WD,Normal,144000
14,20,RL,91,9042,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306,Gd,TA,PConc,Ex,TA,Av,GLQ,733,Unf,0,520,1253,GasA,Ex,Y,SBrkr,1494,0,0,1494,1,0,2,0,3,1,Gd,7,Typ,1,TA,Attchd,2007,RFn,3,840,TA,TA,Y,393,84,0,0,0,0,NA,NA,NA,0,8,2007,New,Partial,279500
15,20,RL,NA,9717,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,578,Unf,0,426,1004,GasA,Gd,Y,SBrkr,1004,0,0,1004,1,0,1,1,3,1,TA,5,Typ,1,Gd,Attchd,1960,Fin,1,294,Fa,TA,Y,0,50,0,0,0,0,NA,MnPrv,NA,0,5,2008,WD,Normal,157000
16,45,RM,51,8404,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,CemntBd,CmentBd,None,0,TA,TA,BrkTil,Gd,TA,No,GLQ,733,Unf,0,94,827,GasA,Gd,Y,SBrkr,1231,0,0,1231,0,0,2,0,3,1,Gd,6,Typ,0,NA,Detchd,1929,Unf,3,528,TA,TA,Y,212,34,0,0,0,0,NA,NA,NA,0,7,2007,WD,Normal,132000
17,20,RL,NA,10625,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,Gd,No,BLQ,578,Unf,0,426,1004,GasA,Gd,Y,SBrkr,1004,0,0,1004,0,0,1,0,3,1,TA,5,Typ,1,TA,Attchd,1970,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,10,2009,WD,Normal,149000
18,20,RL,NA,9500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1008,1008,GasA,Ex,Y,SBrkr,1008,0,0,1008,0,0,2,0,3,1,TA,5,Typ,0,NA,Detchd,1967,Unf,2,430,TA,TA,Y,235,0,206,0,0,0,NA,MnPrv,NA,0,2,2008,WD,Normal,90000
19,20,RL,60,7500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,6,1961,1996,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,Av,BLQ,227,Unf,0,851,1078,GasA,Gd,Y,SBrkr,1107,0,0,1107,1,0,2,0,3,1,TA,5,Typ,1,TA,Attchd,1961,Unf,1,312,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2008,WD,Normal,159000
20,20,RL,NA,7108,Pave,NA,IR1,HLS,AllPub,Inside,Sev,NWAmes,Norm,Norm,1Fam,1Story,7,5,1966,1966,Gable,CompShg,HdBoard,HdBoard,BrkFace,75,TA,TA,CBlock,TA,TA,No,ALQ,566,Unf,0,336,902,GasA,TA,Y,SBrkr,902,0,0,902,1,0,1,0,2,1,TA,6,Typ,0,NA,Attchd,1966,Unf,2,470,TA,TA,Y,0,34,0,0,0,0,NA,NA,NA,0,7,2008,WD,Normal,139000
21,60,RL,75,9742,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,164,Gd,TA,PConc,Ex,TA,No,GLQ,1104,Unf,0,137,1241,GasA,Ex,Y,SBrkr,1304,829,0,2133,1,0,3,0,3,1,Gd,7,Typ,2,Gd,Attchd,2003,Fin,2,541,TA,TA,Y,0,58,0,0,0,0,NA,NA,NA,0,7,2006,WD,Normal,325300
22,45,RM,51,6120,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Unf,5,7,1920,1994,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Rec,0,Unf,0,519,519,GasA,TA,Y,FuseA,546,546,0,1092,0,0,1,0,2,1,TA,6,Typ,0,NA,Detchd,1920,Unf,1,336,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,8,2006,WD,Normal,139400
23,20,RL,NA,8000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1950,1958,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,GLQ,383,Unf,0,657,1040,GasA,TA,Y,SBrkr,1040,0,0,1040,1,0,2,0,3,1,TA,5,Typ,0,NA,Attchd,1950,Unf,1,276,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,6,2006,WD,Normal,230000
24,120,RM,NA,5858,Pave,NA,IR1,HLS,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,456,Ex,TA,PConc,Ex,TA,Av,GLQ,1012,Unf,0,139,1151,GasA,Ex,Y,SBrkr,1151,0,0,1151,1,0,2,0,2,1,Ex,6,Typ,1,TA,Attchd,2007,Fin,2,474,TA,TA,Y,0,84,0,0,0,0,NA,NA,NA,0,9,2006,New,Partial,329900
25,20,RL,50,7442,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1950,1952,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,720,720,GasA,Gd,Y,SBrkr,720,0,0,720,0,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,1950,Unf,1,264,TA,TA,Y,0,46,0,0,0,0,NA,NA,NA,0,3,2007,WD,Normal,110000
26,20,RL,75,13900,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,578,Unf,0,780,1358,GasA,Gd,Y,SBrkr,1358,0,0,1358,1,0,1,1,3,1,TA,6,Typ,0,NA,Detchd,1965,Unf,2,480,TA,TA,Y,100,0,0,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,141000
27,20,RL,NA,9235,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1957,2002,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,No,GLQ,380,Unf,0,480,860,GasA,TA,Y,FuseA,860,0,0,860,0,0,1,0,3,1,TA,5,Typ,0,NA,Attchd,1957,Unf,2,440,TA,TA,Y,0,0,180,0,0,0,NA,NA,NA,0,1,2009,WD,Normal,145000
28,20,RL,NA,9720,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1966,1966,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,Gd,No,GLQ,862,Unf,0,138,1000,GasA,TA,Y,SBrkr,1000,0,0,1000,0,0,1,1,3,1,TA,6,Typ,0,NA,Attchd,1966,Unf,2,440,TA,TA,Y,0,60,0,0,0,0,NA,NA,NA,0,12,2007,WD,Normal,250000
29,20,RL,NA,8235,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1969,1969,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,456,960,GasA,Ex,Y,SBrkr,1108,0,0,1108,1,0,2,0,3,1,TA,5,Typ,1,TA,Attchd,1969,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,4,2007,WD,Normal,232600
30,30,RM,60,6819,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,7,1937,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Fa,BrkTil,TA,TA,Mn,Unf,0,Unf,0,600,600,GasA,Fa,Y,FuseA,694,0,0,694,0,0,2,0,3,1,TA,5,Typ,0,NA,Detchd,1937,Unf,1,308,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,3,2007,WD,Normal,107000
31,60,RL,NA,11606,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,GLQ,750,Unf,0,432,1182,GasA,Ex,Y,SBrkr,1182,1002,0,2184,0,0,3,0,4,1,TA,9,Typ,2,Gd,Attchd,1971,RFn,2,506,TA,TA,Y,0,140,0,0,0,0,NA,NA,NA,0,3,2006,WD,Normal,166000
32,20,RL,NA,10773,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,8,1962,1994,Hip,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,No,ALQ,798,Unf,0,176,974,GasA,Gd,Y,SBrkr,1149,0,0,1149,0,0,1,1,3,1,Gd,7,Typ,0,NA,Attchd,1993,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,11,2008,WD,Normal,151000
33,20,RL,85,10625,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1955,1975,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,900,900,GasA,Gd,Y,SBrkr,1089,0,0,1089,0,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1955,Unf,2,497,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,7,2006,WD,Normal,116500
34,20,RL,NA,6820,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,ALQ,590,Unf,0,670,1260,GasA,TA,Y,SBrkr,1260,0,0,1260,1,0,2,0,3,1,TA,6,Typ,0,NA,Attchd,1966,Unf,1,398,TA,TA,Y,0,0,0,0,0,0,NA,MnPrv,NA,0,6,2009,WD,Normal,162500
35,30,RL,68,8126,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,1Story,5,5,1921,1970,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,894,894,GasA,Gd,Y,FuseA,894,0,0,894,0,0,1,0,3,1,TA,6,Typ,0,NA,Detchd,1960,Unf,1,308,Fa,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,4,2006,WD,Normal,116000
36,60,RL,75,11050,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,5,1975,1975,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,ALQ,831,Unf,0,251,1082,GasA,Ex,Y,SBrkr,1082,928,0,2010,1,0,2,1,4,1,TA,8,Typ,2,Gd,Attchd,1975,RFn,2,528,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,12,2007,WD,Normal,170000
37,20,RL,72,7200,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1968,1968,Hip,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,LwQ,200,Unf,0,600,800,GasA,Gd,Y,SBrkr,912,0,0,912,0,0,2,0,3,1,TA,5,Typ,0,NA,Attchd,1968,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,213500
38,20,RL,64,7892,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Rec,594,Unf,0,252,846,GasA,Gd,Y,SBrkr,900,0,0,900,0,0,1,0,3,1,TA,5,Typ,0,NA,Attchd,1966,Unf,1,270,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,9,2007,WD,Normal,230000
39,20,RL,NA,7000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,800,800,GasA,Gd,Y,SBrkr,800,0,0,800,0,0,1,0,3,1,TA,5,Typ,0,NA,Attchd,1965,Fin,1,294,TA,TA,Y,0,0,0,0,0,0,NA,NA,NA,0,3,2008,WD,Normal,100000
40,20,RL,NA,10476,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,CemntBd,CmentBd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,825,Unf,0,465,1290,GasA,Ex,Y,SBrkr,1290,0,0,1290,1,0,2,0,2,1,Gd,6,Typ,2,TA,Attchd,2004,Fin,2,588,TA,TA,Y,0,66,0,0,0,0,NA,NA,NA,0,4,2006,WD,Normal,236500
